,id,num_mass_0,num_mass_1,num_mass_2,num_mass_3,num_mass_4,num_mass_5,num_mass_6,num_mass_7,num_mass_8,num_mass_9,num_mass_10,num_mass_11,num_mass_12,num_mass_13,num_mass_14,num_mass_15,num_mass_16,num_mass_17,num_mass_18,num_mass_19,num_mass_20,num_mass_21,num_mass_22,num_mass_23,num_mass_24,num_mass_25,num_mass_26,num_mass_27,num_mass_28,num_mass_29,num_mass_30,num_mass_31,num_mass_32,num_mass_33,num_mass_34,num_mass_35,num_mass_36,num_mass_37,num_mass_38,num_mass_39,num_mass_40,num_mass_41,num_mass_42,num_mass_43,num_mass_44,num_mass_45,num_mass_46,num_mass_47,num_mass_48,num_mass_49,num_mass_50,num_mass_51,num_mass_52,num_mass_53,num_mass_54,num_mass_55,atoms,num_density,num_Triclinic,num_Monoclinic,num_Orthorhombic,num_Tetragonal,num_Trigonal,num_Hexagonal,num_Cubic,value_per_atom
0,PN_MCKVEQNTJFRUHOURCR2HCEB35KDFRETL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'numbers': array([28, 28, 28, 28, 73, 73, 73, 73, 73, 73]), 'positions': array([[-3.45507990e+01, -1.99479002e+01,  7.95040030e+00],
       [-6.91014977e+01,  7.34932001e-07,  1.12461010e+01],
       [-4.05640102e-07, -3.98956998e+01,  2.71471008e+01],
       [-3.45507996e+01, -1.99478980e+01,  3.04426014e+01],
       [-1.91451996e+01, -3.98957012e+01,  9.59830015e+00],
       [-5.95288306e+01, -2.33155000e+01,  9.59830015e+00],
       [-2.49780995e+01,  3.36760092e+00,  9.59830092e+00],
       [-9.57269995e+00, -1.65801979e+01,  2.87948014e+01],
       [-4.99561989e+01,  2.91198190e-06,  2.87948018e+01],
       [-4.41232780e+01, -4.32633062e+01,  2.87948026e+01]]), 'cell': array([[-6.910143,  0.      ,  0.      ],
       [ 3.455072, -5.984361,  0.      ],
       [-3.455072,  1.994788,  3.839311]]), 'pbc': array([False, False, False])}",1.509407959126466,0,0,0,0,1,0,0,0.10174024974414664
1,PN_FGGHB2NFWUCYD3YZO4FWN3QVOKCTVI6K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'numbers': array([25, 25, 25, 25, 51, 51]), 'positions': array([[ 1.87778212e+01,  9.38021245e+00,  6.06371322e+01],
       [ 0.00000000e+00,  9.38021245e+00,  5.42401237e+00],
       [ 1.87778212e+01,  9.38021245e+00,  3.84776783e+01],
       [ 0.00000000e+00,  9.38021245e+00,  2.75834663e+01],
       [ 1.87778212e+01,  9.38021245e+00, -1.65117955e+01],
       [-6.46234854e-16,  9.38021245e+00,  8.25729401e+01]]), 'cell': array([[-1.87778212,  1.87604249,  6.60611446],
       [ 1.87778212, -1.87604249,  6.60611446],
       [ 1.87778212,  1.87604249, -6.60611446]]), 'pbc': array([False, False, False])}",1.8981812472426949,0,0,0,1,0,0,0,0.49598083178150887
2,PN_BAO7ZSBZZCMA7PH7QMR7WLDI72GOELND,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'numbers': array([77, 77, 11, 11]), 'positions': array([[ 6.83883265e+00,  0.00000000e+00,  4.35668424e+01],
       [ 6.83883265e+00,  2.60817299e+01,  1.04127564e+01],
       [-6.83883265e+00,  2.60817299e+01,  3.85647614e+01],
       [ 2.05164979e+01,  1.29246971e-15,  1.54148374e+01]]), 'cell': array([[-1.36776653,  2.60817299,  5.39795988],
       [ 1.36776653, -2.60817299,  5.39795988],
       [ 1.36776653,  2.60817299, -5.39795988]]), 'pbc': array([False, False, False])}",2.793987370176736,0,0,1,0,0,0,0,0.47213003244004526
3,PN_4YR2JLVZHJLC3F2TYPTOVDBJJ52C6XIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'numbers': array([42, 62]), 'positions': array([[ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [-6.26546575e-17, -4.35387179e-06,  6.96323543e+01]]), 'cell': array([[ 1.65820251,  0.95736344,  4.64215485],
       [-1.65820251,  0.95736344,  4.64215485],
       [ 0.        , -1.91472687,  4.64215485]]), 'pbc': array([False, False, False])}",5.570533179613655,0,0,0,0,1,0,0,0.5114126186332761
4,PN_H6P36AVAKDU244QNQGGCJ7YLC4A4F2YE,0.0,0.0,0.0,0.0,0.0,0.41379310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5862068965517241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'numbers': array([15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 50, 50, 50, 50, 50,
       50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]), 'positions': array([[ 44.06953952, -28.13736507,  44.06953952],
       [ 11.56224958,  27.49442403,  11.56224958],
       [-11.56224958,  83.76915417,  11.56224958],
       [ 11.56224958,  83.76915417, -11.56224958],
       [-11.56224958,  11.56224958,  83.76915417],
       [ 11.56224958, -11.56224958,  83.76915417],
       [ 11.56224958,  11.56224958,  27.49442403],
       [ 44.06953952,  44.06953952, -28.13736507],
       [ 83.76915417,  11.56224958, -11.56224958],
       [ 83.76915417, -11.56224958,  11.56224958],
       [-28.13736507,  44.06953952,  44.06953952],
       [ 27.49442403,  11.56224958,  11.56224958],
       [ 15.81164373,  61.10018479,  15.81164373],
       [ 39.82014537,   5.46839681,  39.82014537],
       [ 15.81164318,  50.16339285, -15.81164318],
       [-15.81164318,  50.16339285,  15.81164318],
       [ 15.81164318, -15.81164318,  50.16339285],
       [-15.81164318,  15.81164318,  50.16339285],
       [ 39.82014537,  39.82014537,   5.46839681],
       [ 15.81164373,  15.81164373,  61.10018479],
       [ 50.16339285, -15.81164318,  15.81164318],
       [ 50.16339285,  15.81164318, -15.81164318],
       [ 61.10018479,  15.81164373,  15.81164373],
       [  5.46839681,  39.82014537,  39.82014537],
       [ 19.03740017, -19.03740017,  19.03740017],
       [ 36.59438893,  36.59438893,  36.59438893],
       [ 19.03740017,  19.03740017, -19.03740017],
       [-19.03740017,  19.03740017,  19.03740017],
       [  0.        ,   0.        ,   0.        ]]), 'cell': array([[-5.56317891,  5.56317891,  5.56317891],
       [ 5.56317891, -5.56317891,  5.56317891],
       [ 5.56317891,  5.56317891, -5.56317891]]), 'pbc': array([False, False, False])}",0.21734332569072354,0,0,0,0,0,0,1,0.2150613449970501
5,PN_ZYAHBKLTYXJOLYLD5YFTVBNOSDYIGR6J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'numbers': array([35, 35, 35, 35, 38, 38, 38, 38, 38, 38]), 'positions': array([[ 5.70187816e-07, -4.45184970e+01,  7.01327869e-01],
       [ 1.38863080e-07, -4.45184985e+01,  3.65968994e+01],
       [-7.71082868e+01, -1.31857416e-06,  3.79996543e+01],
       [-7.71082190e+01,  3.87640931e-05,  7.38951639e+01],
       [-2.66817447e+01, -4.45184976e+01,  1.86491632e+01],
       [-2.52132712e+01, -8.47832310e-01,  1.86491632e+01],
       [-6.37673644e+01, -2.14113677e+01,  1.86491632e+01],
       [-1.33409222e+01, -2.31071321e+01,  5.59473905e+01],
       [-5.18950154e+01, -4.36706675e+01,  5.59473905e+01],
       [-5.04264424e+01, -2.20092373e-06,  5.59473905e+01]]), 'cell': array([[-7.71082419,  0.        ,  0.        ],
       [ 3.85541259, -6.67777124,  0.        ],
       [-3.85541259,  2.22592375,  7.45964918]]), 'pbc': array([False, False, False])}",0.436140374503217,0,0,0,0,1,0,0,-1.1913767863029878
6,PN_LPSIHXMY4PO3JLA6HT25TBUO3GTG6WUV,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'numbers': array([32, 32, 32, 32, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15]), 'positions': array([[43.27551054, 56.53364902, 47.46433725],
       [ 8.50769994, 35.17598633, 15.82144575],
       [61.02792126, 25.96377057, 47.46433725],
       [26.26011066,  4.60610788, 15.82144575],
       [ 7.34140191, -4.85974921, 47.46433725],
       [42.10921251, 35.42962766, 15.82144575],
       [27.42640869, 25.71012924, 47.46433725],
       [62.19421929,  4.85974921, 15.82144575],
       [42.39905576, 16.71621849, -0.45580699],
       [ 7.63124516, 13.85365996,  0.45580699],
       [61.90437604, 47.28609694, 32.09869849],
       [27.13656544, 44.42353841, 31.18708451],
       [27.13656544, 44.42353841,  0.45580699],
       [61.90437604, 47.28609694, -0.45580699],
       [ 7.63124516, 13.85365996, 31.18708451],
       [42.39905576, 16.71621849, 32.09869849]]), 'cell': array([[6.95356212, 0.        , 0.        ],
       [0.        , 6.11397569, 0.        ],
       [0.        , 0.        , 6.3285783 ]]), 'pbc': array([False, False, False])}",0.38506967558505567,0,0,1,0,0,0,0,0.20868503656866455
7,PN_UHJQ2SH2GXQ7QNGQO5WBAFRBBVHRU2KX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'numbers': array([25, 25, 25, 25, 25, 25, 25, 25, 51]), 'positions': array([[ 1.41923918e+01, -1.41923918e+01,  1.80602664e+01],
       [-1.41923918e+01,  1.41923918e+01,  1.80602664e+01],
       [ 2.68237072e+01,  6.43091797e-16,  3.97095966e-16],
       [ 1.41923922e+01,  1.41923922e+01,  1.80602662e+01],
       [ 6.43091797e-16,  2.68237072e+01,  3.97095966e-16],
       [ 2.41848486e+01,  2.41848486e+01,  1.80602665e-07],
       [ 4.99307744e+01,  2.39642221e-15, -6.87019494e-16],
       [ 2.39642221e-15,  4.99307744e+01, -6.87019494e-16],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00]]), 'cell': array([[-3.83772408,  3.83772408,  1.80602664],
       [ 3.83772408, -3.83772408,  1.80602664],
       [ 3.83772408,  3.83772408, -1.80602664]]), 'pbc': array([False, False, False])}",1.660733690619704,0,0,0,1,0,0,0,0.10883672676979472
8,PN_AVCLYOZGXY4UAYGMVTDALSWZ6ADSTRLS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'numbers': array([56, 56, 83, 83, 83]), 'positions': array([[-1.85087099e-15,  3.97235201e+01,  2.28037843e+01],
       [-2.07502424e-15,  3.97235201e+01, -2.28037843e+01],
       [ 0.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [-2.41565124e+01,  2.35022022e+01, -7.37801808e-16],
       [ 2.41565124e+01,  5.59448380e+01,  4.94824250e-16]]), 'cell': array([[-4.83130248,  0.        ,  0.        ],
       [ 2.41565124,  3.97235201,  5.09432233],
       [ 2.41565124,  3.97235201, -5.09432233]]), 'pbc': array([False, False, False])}",1.7710738103438908,0,0,1,0,0,0,0,-0.8094130623309983
9,PN_R6Z4HO26474O43IIUBSFSOA2NTVFQPIJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'numbers': array([42, 42, 42, 74, 74, 74]), 'positions': array([[-1.58780687e-07,  3.76348195e+00,  6.67611423e-02],
       [-1.58780688e-07, -1.81101519e+01, -6.76074428e+01],
       [-1.58780685e+01, -1.82685443e+01, -4.51039860e+01],
       [-4.32930067e-17, -1.85065193e+01, -2.26555983e+01],
       [ 1.58780688e-07,  4.13768034e+00, -4.49402569e+01],
       [-1.58780689e+01,  3.99058081e+00, -2.23852007e+01]]), 'cell': array([[-3.17561374,  0.        ,  0.        ],
       [ 1.58780687,  2.28879144, -4.47689241],
       [ 0.        , -4.4491664 , -4.5306877 ]]), 'pbc': array([False, False, False])}",2.908911438078757,0,1,0,0,0,0,0,-0.0006663757429568781
